ID,Urbanizacion,Manzana,Lote,Estado,Cuota
1-2-11,1,2,11,Cancelado,"510,000"
1-2-12,1,2,12,Cancelado,"350,000"
1-2-7,1,2,7,Recuperado Libre,0
1-2-8,1,2,8,Recuperado Libre,"600,000"
1-2-9,1,2,9,Recuperado Libre,"600,000"
1-1-1,1,1,1,Vendido,"370,000"
1-1-2,1,1,2,Vendido,"480,000"
1-1-3,1,1,3,Vendido,"320,000"
1-1-4,1,1,4,Vendido,"330,000"
1-1-5,1,1,5,Vendido,"330,000"
1-1-6,1,1,6,Vendido,"550,000"
1-1-7,1,1,7,Vendido,"480,000"
1-1-8,1,1,8,Vendido,"400,000"
1-1-9,1,1,9,Vendido,"480,000"
1-1-10,1,1,10,Vendido,"370,000"
1-1-11,1,1,11,Vendido,"370,000"
1-1-12,1,1,12,Vendido,"360,000"
1-1-13,1,1,13,Vendido,"360,000"
1-1-14,1,1,14,Vendido,"500,000"
1-2-1,1,2,1,Vendido,"280,000"
1-2-2,1,2,2,Vendido,"300,000"
1-2-3,1,2,3,Vendido,"600,000"
1-2-4,1,2,4,Vendido,"480,000"
1-2-5,1,2,5,Vendido,"330,000"
1-2-6,1,2,6,Vendido,"330,000"
1-2-10,1,2,10,Vendido,"350,000"
1-2-13,1,2,13,Vendido,"600,000"
10-2-5,10,2,5,Cancelado,"530,000"
10-2-8,10,2,8,Cancelado,"530,000"
10-1-1,10,1,1,Reserva de Propietario,"1,400,000"
10-1-2,10,1,2,Reserva de Propietario,"1,400,000"
10-3-10,10,3,10,Escriturado,"650,000"
10-1-3,10,1,3,Vendido,"750,000"
10-1-4,10,1,4,Vendido,"750,000"
10-1-5,10,1,5,Vendido,"750,000"
10-2-1,10,2,1,Vendido,"720,000"
10-2-2,10,2,2,Vendido,"480,000"
10-2-3,10,2,3,Vendido,"480,000"
10-2-4,10,2,4,Vendido,"480,000"
10-2-6,10,2,6,Vendido,"530,000"
10-2-7,10,2,7,Vendido,"530,000"
10-2-9,10,2,9,Vendido,"530,000"
10-2-10,10,2,10,Vendido,"600,000"
10-3-1,10,3,1,Vendido,"500,000"
10-3-2,10,3,2,Vendido,"480,000"
10-3-3,10,3,3,Vendido,"480,000"
10-3-4,10,3,4,Vendido,"480,000"
10-3-5,10,3,5,Vendido,"480,000"
10-3-6,10,3,6,Vendido,"520,000"
10-3-7,10,3,7,Vendido,"605,000"
10-3-8,10,3,8,Vendido,"680,000"
10-3-9,10,3,9,Vendido,"480,000"
10-4-1,10,4,1,Vendido,"700,000"
10-4-2,10,4,2,Vendido,"430,000"
10-4-3,10,4,3,Vendido,"500,000"
10-4-4,10,4,4,Vendido,"500,000"
10-4-5,10,4,5,Vendido,"430,000"
10-4-6,10,4,6,Vendido,"430,000"
10-4-7,10,4,7,Vendido,"430,000"
10-4-8,10,4,8,Vendido,"430,000"
10-4-9,10,4,9,Vendido,"430,000"
10-4-10,10,4,10,Vendido,"450,000"
10-5-1,10,5,1,Vendido,"400,000"
10-5-2,10,5,2,Vendido,"380,000"
10-5-3,10,5,3,Vendido,"450,000"
10-5-4,10,5,4,Vendido,"380,000"
10-5-5,10,5,5,Vendido,"380,000"
10-5-6,10,5,6,Vendido,"420,000"
10-5-7,10,5,7,Vendido,"420,000"
10-5-8,10,5,8,Vendido,"380,000"
10-5-9,10,5,9,Vendido,"380,000"
10-5-10,10,5,10,Vendido,"450,000"
10-6-1,10,6,1,Vendido,"350,000"
10-6-2,10,6,2,Vendido,"350,000"
10-6-3,10,6,3,Vendido,"650,000"
10-6-4,10,6,4,Vendido,"330,000"
10-6-5,10,6,5,Vendido,"330,000"
10-6-6,10,6,6,Vendido,"650,000"
10-6-7,10,6,7,Vendido,"380,000"
10-6-8,10,6,8,Vendido,"600,000"
10-6-9,10,6,9,Vendido,"330,000"
10-6-10,10,6,10,Vendido,"350,000"
10-7-3,10,7,3,Vendido,"400,000"
10-7-4,10,7,4,Vendido,"330,000"
10-7-5,10,7,5,Vendido,"300,000"
10-7-6,10,7,6,Vendido,"420,000"
10-7-7,10,7,7,Vendido,"300,000"
11-1-1,11,1,1,Bloqueado,0
